"","model","split","auc_train","auc_test"
"1","gbm",1,0.943605922098569,0.941269841269841
"2","gbm",2,0.942711645468998,0.953174603174603
"3","gbm",3,0.947987877583466,0.887698412698413
"4","gbm",4,0.948206478537361,0.903571428571429
"5","gbm",5,0.945399443561208,0.928174603174603
"6","gbm",6,0.948808621705818,0.896326530612245
"7","gbm",7,0.942592950289487,0.966938775510204
"8","gbm",8,0.949779356046536,0.887755102040816
"9","gbm",9,0.942325503073167,0.957142857142857
"10","gbm",10,0.949335317460317,0.901771336553945
