"","model","split","auc_train","auc_test"
"1","gbm",1,0.75197977582846,0.778265107212476
"2","gbm",2,0.745900341130604,0.839668615984405
"3","gbm",3,0.761299951267057,0.678362573099415
"4","gbm",4,0.762116228070175,0.689571150097466
"5","gbm",5,0.751985867446394,0.778752436647174
"6","gbm",6,0.756566764132554,0.737329434697856
"7","gbm",7,0.750201023391813,0.785087719298246
"8","gbm",8,0.756323099415205,0.73635477582846
"9","gbm",9,0.757315995302265,0.734262125902993
"10","gbm",10,0.752236872374172,0.776573787409701
