"","model","split","auc_train","auc_test"
"1","logreg",1,0.673318208107103,0.668932470696274
"2","logreg",2,0.800634516967189,0.795133795900667
"3","logreg",3,0.829006142640621,0.8143589504349
"4","logreg",4,0.656817399170513,0.65743147546945
"5","logreg",5,0.816192682180801,0.819694517479328
"6","logreg",6,0.644931215658567,0.641115455988874
"7","logreg",7,0.826056288782839,0.841430436367145
"8","logreg",8,0.665008961756215,0.668674170279695
"9","logreg",9,0.828425726025854,0.820659820257841
"10","logreg",10,0.791741207680669,0.795172220999269
