"","model","split","auc_train","auc_test"
"1","safe_logreg_gbm",1,0.853596127247579,0.884074074074074
"2","safe_logreg_gbm",2,0.864877823881973,0.77962962962963
"3","safe_logreg_gbm",3,0.862558782849239,0.87037037037037
"4","safe_logreg_gbm",4,0.863130474873213,0.834814814814815
"5","safe_logreg_gbm",5,0.86870908252651,0.773703703703704
"6","safe_logreg_gbm",6,0.868294144767174,0.845185185185185
"7","safe_logreg_gbm",7,0.863144306131858,0.827777777777778
"8","safe_logreg_gbm",8,0.85701244813278,0.87037037037037
"9","safe_logreg_gbm",9,0.866225895316804,0.83
"10","safe_logreg_gbm",10,0.877240587695133,0.757307692307692
